"","pH","Besi","Mangan","Nitrit","Sisa Klor"
"1",0.92,0.0106666666666667,0.00133333333333333,0.00133333333333333,0.0266666666666667
"2",1.85866666666667,0.016,0.004,0.0106666666666667,0.08
"3",2.808,0.024,0.00533333333333333,0.0146666666666667,0.133333333333333
"4",3.808,0.044,0.008,0.0213333333333333,0.16
"5",4.75466666666667,0.0546666666666667,0.00933333333333333,0.0306666666666667,0.186666666666667
"6",5.7,0.0626666666666667,0.0106666666666667,0.0373333333333333,0.24
"7",6.608,0.0693333333333333,0.012,0.048,0.28
"8",7.532,0.076,0.0133333333333333,0.0493333333333333,0.346666666666667
"9",8.49066666666667,0.0853333333333333,0.0146666666666667,0.0506666666666667,0.386666666666667
"10",9.41066666666667,0.106666666666667,0.016,0.0533333333333333,0.426666666666667
"11",10.3306666666667,0.125333333333333,0.0173333333333333,0.0613333333333333,0.466666666666667
"12",11.2773333333333,0.138666666666667,0.0186666666666667,0.0693333333333333,0.52
"13",12.2266666666667,0.146666666666667,0.02,0.0826666666666667,0.56
"14",13.1346666666667,0.156,0.0213333333333333,0.108,0.613333333333333
"15",14.0706666666667,0.170666666666667,0.0226666666666667,0.136,0.666666666666667
"16",15.0026666666667,0.177333333333333,0.024,0.149333333333333,0.706666666666667
"17",15.952,0.186666666666667,0.0253333333333333,0.158666666666667,0.733333333333333
"18",16.8933333333333,0.204,0.0266666666666667,0.164,0.773333333333333
"19",17.8,0.222666666666667,0.028,0.182666666666667,0.813333333333333
"20",18.72,0.232,0.0293333333333333,0.186666666666667,0.906666666666667
"21",19.6266666666667,0.248,0.0306666666666667,0.202666666666667,0.946666666666667
"22",20.576,0.274666666666667,0.032,0.204,1.01333333333333
"23",21.5213333333333,0.284,0.0333333333333333,0.208,1.08
"24",22.4413333333333,0.289333333333333,0.0346666666666667,0.213333333333333,1.12
"25",23.3746666666667,0.302666666666667,0.036,0.216,1.14666666666667
"26",24.3333333333333,0.328,0.0373333333333333,0.233333333333333,1.21333333333333
"27",25.2413333333333,0.338666666666667,0.0386666666666667,0.26,1.26666666666667
"28",26.172,0.354666666666667,0.04,0.281333333333333,1.30666666666667
"29",27.1053333333333,0.364,0.0413333333333333,0.313333333333333,1.36
"30",28.0253333333333,0.372,0.0426666666666667,0.332,1.41333333333333
"31",28.972,0.385333333333333,0.044,0.365333333333333,1.48
"32",29.9133333333333,0.398666666666667,0.0453333333333333,0.384,1.53333333333333
"33",30.9,0.409333333333333,0.0466666666666667,0.389333333333333,1.57333333333333
"34",31.86,0.416,0.048,0.4,1.62666666666667
"35",32.86,0.422666666666667,0.0493333333333333,0.405333333333333,1.66666666666667
"36",33.7693333333333,0.429333333333333,0.0506666666666667,0.410666666666667,1.70666666666667
"37",34.6866666666667,0.457333333333333,0.052,0.412,1.76
"38",35.5946666666667,0.468,0.0533333333333333,0.413333333333333,1.81333333333333
"39",36.5106666666667,0.476,0.0546666666666667,0.418666666666667,1.85333333333333
"40",37.484,0.485333333333333,0.056,0.453333333333333,1.90666666666667
"41",38.4093333333333,0.493333333333333,0.0573333333333333,0.477333333333333,1.94666666666667
"42",39.3266666666667,0.508,0.0586666666666667,0.490666666666667,1.98666666666667
"43",40.3,0.517333333333333,0.06,0.505333333333333,2.05333333333333
"44",41.2866666666667,0.524,0.0613333333333333,0.518666666666667,2.09333333333333
"45",42.2733333333333,0.532,0.0626666666666667,0.52,2.16
"46",43.1946666666667,0.538666666666667,0.105333333333333,0.521333333333333,2.21333333333333
"47",44.1066666666667,0.548,0.106666666666667,0.522666666666667,2.24
"48",45.0933333333333,0.558666666666667,0.108,0.522666666666667,2.33333333333333
"49",46.016,0.558666666666667,0.109333333333333,0.533333333333333,2.38666666666667
"50",46.9493333333333,0.558666666666667,0.110666666666667,0.576,2.44
